BlobID,Compound Name,Category,Label,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library ID,Library Match Factor,Library Reverse Match Factor,Library Name,Library Probability,Library RI,Library Formula
532,3-Octanol,Natural Marine,,marine?,TRUE,0,20.83335988,0.70999995,12401,125869,29939,894,928,mainlib,75.76000214,994,C8H18O
653,"Phenol, 3-methyl-",Unknown,,,FALSE,0,23.08335972,0.779999945,7418,125902,85103,882,888,mainlib,34.59999847,1075,C7H8O
706,"2(3H)-Furanone, dihydro-5-pentyl-",Unknown,,,FALSE,0,34.58335891,2.159999849,6738,126653,54554,849,852,mainlib,38.29999924,1363,C9H16O2
577,2-Octanone,Unknown,,,FALSE,0,20.41669324,1.179999917,9008,127701,8055,807,817,mainlib,37.40000153,990,C8H16O
574,1-Nonanol,Natural Marine,,marine?,TRUE,0,27.83335939,0.739999948,9545,127868,22328,902,908,mainlib,23.19000053,1173,C9H20O
568,"Furan, 2-[(2-ethoxy-3,4-dimethyl-2-cyclohexen-1-ylidene)methyl]-",Unknown,,,FALSE,0,42.16669172,0.909999936,10119,129031,201842,718,767,mainlib,15.73999977,,C15H20O2
683,"2-Propanol, 1-butoxy-",Unknown,,,FALSE,0,18.33336005,0.829999942,7230,131050,17027,836,857,mainlib,50.36999893,945,C7H16O2
567,"Ethanone, 1-(3-methylphenyl)-",Unknown,,,FALSE,0,28.41669268,1.299999909,9739,133410,99543,879,890,mainlib,42.65000153,1182,C9H10O
477,Biphenyl,Unknown,,marine_contam- in fb but way more in sample,TRUE,0,35.41669219,0.829999942,15988,133597,143989,885,896,mainlib,28.54000092,1381,C12H10
584,1H-Phenalene,Unknown,,,FALSE,0,42.00002506,0.969999932,8941,137744,154408,803,886,mainlib,54.61000061,,C13H10
731,"Propanoic acid, 2-methyl-, 3-hydroxy-2,2,4-trimethylpentyl ester",Natural Marine,,algae_secretion,TRUE,0,35.00002555,1.119999922,6720,138187,38750,822,836,mainlib,50.63999939,1380,C12H24O3
575,2-Dodecanone,Unknown,,,FALSE,0,35.66669217,1.039999927,9259,138469,27956,837,852,mainlib,43.65000153,1396,C12H24O
609,o-Hydroxybiphenyl,Unknown,,,FALSE,0,39.66669189,0.899999937,8303,139255,159145,772,880,mainlib,42.81999969,1507,C12H10O
1504,"Hex-3-ene-1,6-diol",Unknown,,,FALSE,0,25.08335958,4.299999699,1950,143731,33440,679,704,mainlib,9.119999886,,C6H12O2
768,"1H-Tetrazole, 1-methyl-",Unknown,,,FALSE,0,17.41669345,2.929999795,5648,146683,18891,706,778,mainlib,17.20000076,,C2H4N4
1172,"Propanedinitrile, propylidene-",Unknown,,,FALSE,0,22.75002641,3.559999751,3171,148046,193,619,766,mainlib,8.369999886,,C6H6N2
570,"Silane, trimethyl(3-methyl-1-butynyl)-",Unknown,,,FALSE,0,30.75002585,1.379999903,9357,149762,109245,791,845,mainlib,55.72999954,,C8H16Si
535,"Benzene, 1,1'-(1,2-cyclobutanediyl)bis-, trans-",Unknown,,,FALSE,0,46.50002475,0.829999942,12266,150886,77328,807,867,mainlib,32.38000107,1720,C16H16
594,"Naphthalene, 2,6-dimethyl-",Unknown,,,FALSE,0,36.91669208,0.899999937,8681,152511,146171,877,897,mainlib,17.27000046,1401,C12H12
370,"Tetrasiloxane, decamethyl-",Unknown,,,FALSE,0,23.16669305,0.519999964,24242,155966,188653,840,852,mainlib,39.77999878,1028,C10H30O3Si4
833,"1,3-Propanediol, 2-dodecyl",Unknown,,,FALSE,0,27.25002609,0.519999964,5262,156729,2438,776,800,mainlib,3.910000086,,C15H32O2
546,"3-Heptanone, 5-methyl-",Unknown,,,FALSE,0,20.25002658,1.079999924,11357,165450,501,806,862,mainlib,41.63999939,944,C8H16O
529,"Ethanone, 1,2-diphenyl-",Unknown,,,FALSE,0,46.00002478,1.209999915,12148,167200,78638,874,901,mainlib,22.34000015,1537,C14H12O
551,2-Undecanone,Unknown,,,FALSE,0,32.25002574,1.049999927,10960,167468,27955,851,863,mainlib,51.58000183,1294,C11H22O
431,4-Octanone,Natural Marine,,m_not_marine,TRUE,0,19.66669329,1.069999925,20123,167557,7845,878,902,mainlib,69.48000336,976,C8H16O
151,"Benzene, hexyl-",Marine Contaminant,,maybe_marine_contam,FALSE,0,31.16669249,0.649999955,33381,185513,60659,884,889,mainlib,43.47999954,1247,C12H18
497,Tridecanal,Natural Marine,,maybe_marine_metabolite,TRUE,0,39.41669191,0.949999934,13896,197339,24045,898,923,mainlib,27.03000069,1512,C13H26O
496,"2-Decenal, (Z)-",Unknown,,,FALSE,0,31.16669249,1.249999913,13614,200959,2441,875,928,mainlib,39.34999847,1252,C10H18O
468,3-Hydroxy-α-ionene,Unknown,,,FALSE,0,36.08335881,0.899999937,16711,202734,85989,731,751,mainlib,14.93000031,,C13H20O2
664,"Propanedinitrile, (1-methylethylidene)-",Unknown,,,FALSE,0,43.16669165,0.439999969,7047,206093,166,633,664,mainlib,11.64000034,,C6H6N2
341,2-Nonanone,Natural Marine,,marine?,TRUE,0,24.66669294,1.119999922,24712,209481,8056,932,948,mainlib,73.93000031,1092,C9H18O
528,"2,2,6,7-Tetramethyl-10-oxatricyclo[4.3.0.1(1,7)]decan-5-one",Unknown,,,FALSE,0,34.08335895,1.339999906,11925,219120,12884,681,682,mainlib,12.36999989,,C13H20O2
